,recall,precision
96,0.95,0.061053984575835475
97,0.95,0.06109324758842444
98,0.95,0.06113256113256113
99,0.95,0.061171925305859624
100,0.95,0.061211340206185565
101,0.95,0.06125080593165699
102,0.95,0.06129032258064516
103,0.95,0.06132989025177534
104,0.95,0.06136950904392765
105,0.95,0.06140917905623788
106,0.95,0.06144890038809832
107,0.95,0.061488673139158574
108,0.94,0.06088082901554404
109,0.94,0.0609202851587816
110,0.94,0.0609597924773022
111,0.94,0.06099935107073329
112,0.94,0.06103896103896104
113,0.94,0.06107862248213125
114,0.94,0.0611183355006502
115,0.94,0.06115810019518542
116,0.94,0.061197916666666664
117,0.94,0.06123778501628664
118,0.94,0.061277705345501955
119,0.94,0.06131767775603392
120,0.94,0.06135770234986945
121,0.94,0.06139777922926192
122,0.94,0.06143790849673202
123,0.94,0.061478090255068674
124,0.94,0.061518324607329845
125,0.94,0.06155861165684348
126,0.94,0.061598951507208385
127,0.94,0.06163934426229508
128,0.94,0.06167979002624672
129,0.94,0.061720288903479976
130,0.94,0.06176084099868594
131,0.94,0.06180144641683103
132,0.94,0.06184210526315789
133,0.94,0.06188281764318631
134,0.94,0.061923583662714096
135,0.94,0.06196440342781806
136,0.94,0.06200527704485488
137,0.94,0.062046204620462043
138,0.94,0.062087186261558784
139,0.94,0.06212822207534699
140,0.94,0.062169312169312166
141,0.94,0.062210456651224356
142,0.94,0.06225165562913907
143,0.94,0.062292909211398274
144,0.94,0.0623342175066313
145,0.94,0.06241699867197875
146,0.94,0.06245847176079734
147,0.94,0.0625
148,0.94,0.06254158349966733
149,0.94,0.06258322237017311
150,0.94,0.0626249167221852
151,0.94,0.06270847231487658
152,0.94,0.06275033377837116
153,0.94,0.06279225116900468
154,0.94,0.06283422459893048
155,0.94,0.06287625418060201
156,0.94,0.06291834002677377
157,0.94,0.06296048225050234
158,0.94,0.06300268096514745
159,0.94,0.06304493628437291
160,0.94,0.06308724832214765
161,0.94,0.0631296171927468
162,0.94,0.06317204301075269
163,0.94,0.06321452589105582
164,0.94,0.063257065948856
165,0.94,0.0632996632996633
166,0.94,0.06334231805929919
167,0.94,0.0633850303438975
168,0.94,0.06342780026990553
169,0.94,0.06347062795408508
170,0.94,0.06351351351351352
171,0.94,0.06355645706558485
172,0.94,0.06359945872801083
173,0.94,0.06364251861882193
174,0.94,0.06368563685636856
175,0.94,0.06372881355932203
176,0.94,0.06377204884667571
177,0.94,0.06381534283774609
178,0.94,0.06385869565217392
179,0.94,0.06390210740992522
180,0.94,0.06394557823129252
181,0.94,0.06398910823689585
182,0.94,0.06403269754768393
183,0.94,0.06407634628493525
184,0.94,0.06412005457025921
185,0.94,0.06416382252559727
186,0.94,0.06420765027322405
187,0.94,0.06425153793574846
188,0.94,0.06429548563611491
189,0.94,0.06433949349760439
190,0.94,0.06438356164383562
191,0.94,0.06442769019876628
192,0.94,0.0644718792866941
193,0.94,0.06451612903225806
194,0.94,0.06456043956043957
195,0.94,0.06460481099656358
196,0.94,0.06464924346629987
197,0.94,0.06469373709566414
198,0.94,0.06473829201101929
199,0.94,0.0647829083390765
200,0.94,0.06482758620689655
201,0.94,0.06487232574189096
202,0.94,0.0649171270718232
203,0.94,0.06496199032480995
204,0.94,0.06500691562932227
205,0.94,0.06505190311418685
206,0.94,0.06509695290858726
207,0.94,0.06514206514206514
208,0.94,0.0651872399445215
209,0.94,0.0652324774462179
210,0.94,0.06527777777777778
211,0.94,0.06532314107018763
212,0.94,0.06536856745479833
213,0.94,0.06541405706332637
214,0.94,0.06545961002785515
215,0.94,0.06550522648083623
216,0.94,0.06555090655509066
217,0.94,0.06559665038381018
218,0.94,0.06564245810055866
219,0.94,0.06568832983927324
220,0.94,0.06573426573426573
221,0.94,0.06578026592022393
222,0.94,0.06582633053221289
223,0.94,0.06587245970567625
224,0.94,0.06591865357643759
225,0.94,0.06596491228070175
226,0.94,0.06601123595505617
227,0.94,0.06605762473647224
228,0.94,0.06610407876230662
229,0.94,0.06615059817030261
230,0.94,0.06619718309859154
231,0.94,0.06624383368569416
232,0.94,0.06629055007052186
233,0.94,0.06633733239237827
234,0.94,0.06638418079096045
235,0.94,0.06643109540636043
236,0.94,0.06647807637906648
237,0.94,0.06652512384996462
238,0.94,0.06657223796033994
239,0.94,0.0666194188518781
240,0.93,0.06595744680851064
241,0.93,0.0660042583392477
242,0.93,0.06605113636363637
243,0.93,0.06609808102345416
244,0.93,0.06614509246088193
245,0.93,0.06619217081850534
246,0.93,0.06623931623931624
247,0.93,0.06628652886671418
248,0.93,0.06633380884450785
249,0.93,0.06638115631691649
250,0.93,0.06642857142857143
251,0.93,0.06647605432451752
252,0.93,0.06652360515021459
253,0.93,0.06657122405153901
254,0.93,0.0666189111747851
255,0.93,0.06666666666666667
256,0.93,0.0667144906743185
257,0.93,0.06676238334529792
258,0.93,0.0668103448275862
259,0.93,0.06685837526959022
260,0.93,0.06690647482014389
261,0.93,0.06695464362850972
262,0.92,0.06628242074927954
263,0.92,0.06633020908435472
264,0.92,0.06637806637806638
265,0.92,0.0664259927797834
266,0.92,0.06647398843930635
267,0.92,0.06652205350686913
268,0.92,0.06657018813314038
269,0.92,0.0666183924692252
270,0.92,0.06666666666666667
271,0.92,0.06671501087744743
272,0.92,0.06676342525399129
273,0.92,0.06681190994916485
274,0.92,0.06686046511627906
275,0.92,0.0669090909090909
276,0.92,0.06695778748180495
277,0.92,0.06700655498907501
278,0.92,0.06705539358600583
279,0.92,0.06710430342815463
280,0.92,0.06715328467153285
281,0.92,0.06720233747260775
282,0.92,0.06725146198830409
283,0.92,0.06730065837600585
284,0.92,0.06734992679355783
285,0.92,0.0673992673992674
286,0.92,0.06744868035190615
287,0.92,0.06749816581071166
288,0.92,0.06754772393538913
289,0.92,0.06759735488611315
290,0.92,0.06764705882352941
291,0.92,0.06769683590875644
292,0.92,0.06774668630338733
293,0.92,0.06779661016949153
294,0.92,0.06784660766961652
295,0.92,0.06789667896678966
296,0.92,0.06794682422451995
297,0.92,0.0679970436067997
298,0.92,0.06804733727810651
299,0.92,0.06809770540340489
300,0.92,0.06814814814814815
301,0.92,0.0681986656782802
302,0.92,0.06824925816023739
303,0.92,0.06829992576095026
304,0.92,0.06835066864784546
305,0.92,0.06840148698884758
306,0.92,0.06845238095238096
307,0.92,0.06850335070737155
308,0.92,0.06855439642324888
309,0.92,0.0686055182699478
310,0.92,0.06865671641791045
311,0.92,0.06870799103808813
312,0.92,0.0687593423019432
313,0.92,0.068810770381451
314,0.92,0.0688622754491018
315,0.92,0.06891385767790262
316,0.92,0.06896551724137931
317,0.92,0.0690172543135784
318,0.92,0.06906906906906907
319,0.92,0.06912096168294515
320,0.92,0.06917293233082707
321,0.92,0.0692249811888638
322,0.92,0.06927710843373494
323,0.92,0.0693293142426526
324,0.91,0.06862745098039216
325,0.91,0.06867924528301887
326,0.91,0.06873111782477341
327,0.91,0.06878306878306878
328,0.91,0.06883509833585477
329,0.91,0.06888720666161999
330,0.91,0.06893939393939394
331,0.91,0.06899166034874905
332,0.91,0.06904400606980274
333,0.91,0.06909643128321943
334,0.91,0.06914893617021277
335,0.91,0.06920152091254753
336,0.91,0.06925418569254185
337,0.91,0.06930693069306931
338,0.91,0.06935975609756098
339,0.9,0.06864988558352403
340,0.9,0.06870229007633588
341,0.9,0.06875477463712758
342,0.9,0.06880733944954129
343,0.9,0.06885998469778118
344,0.9,0.06891271056661562
345,0.9,0.06896551724137931
346,0.9,0.06901840490797546
347,0.9,0.06907137375287797
348,0.9,0.06912442396313365
349,0.9,0.06917755572636433
350,0.9,0.06923076923076923
351,0.9,0.06928406466512702
352,0.9,0.06933744221879815
353,0.9,0.06939090208172706
354,0.9,0.06944444444444445
355,0.9,0.0694980694980695
356,0.9,0.0695517774343122
357,0.9,0.06960556844547564
358,0.9,0.0696594427244582
359,0.9,0.069713400464756
360,0.9,0.06976744186046512
361,0.9,0.06982156710628394
362,0.9,0.06987577639751552
363,0.9,0.06993006993006994
364,0.9,0.06998444790046657
365,0.9,0.07003891050583658
366,0.9,0.07009345794392523
367,0.9,0.0701480904130943
368,0.9,0.07020280811232449
369,0.9,0.0702576112412178
370,0.89,0.06953125
371,0.89,0.06958561376075059
372,0.89,0.06964006259780908
373,0.89,0.0696945967110415
374,0.89,0.06974921630094044
375,0.89,0.06980392156862746
376,0.89,0.06985871271585557
377,0.89,0.06991358994501179
378,0.89,0.0699685534591195
379,0.89,0.07002360346184107
