,recall,precision
116,0.99,0.062401512763945795
117,0.99,0.06242118537200504
118,0.99,0.06244087038789026
119,0.99,0.062460567823343846
120,0.99,0.06248027769012307
121,0.99,0.0625
122,0.99,0.06251973476476161
123,0.99,0.06253948199620973
124,0.99,0.06255924170616113
125,0.99,0.06257901390644753
126,0.99,0.06259879860891558
127,0.99,0.06261859582542695
128,0.99,0.06263840556785827
129,0.99,0.06265822784810127
130,0.99,0.06267806267806268
131,0.99,0.06269791006966434
132,0.99,0.0627177700348432
133,0.985,0.06242078580481622
134,0.985,0.06246036778693722
135,0.985,0.0624801776086267
136,0.985,0.0625
137,0.985,0.06251983497302444
138,0.985,0.06253968253968253
139,0.985,0.06255954271197206
140,0.985,0.06257941550190597
141,0.985,0.06259930092151256
142,0.985,0.06261919898283534
143,0.985,0.06263910969793322
144,0.985,0.0626590330788804
145,0.985,0.06267896913776647
146,0.985,0.06269891788669638
147,0.985,0.06271887933779051
148,0.985,0.06273885350318471
149,0.985,0.06275884039503027
150,0.985,0.06277884002549394
151,0.985,0.06279885240675805
152,0.985,0.0628188775510204
153,0.985,0.06283891547049442
154,0.985,0.06285896617740906
155,0.985,0.06287902968400894
156,0.985,0.06289910600255427
157,0.985,0.06291919514532099
158,0.985,0.06293929712460064
159,0.985,0.06295941195270055
160,0.985,0.06297953964194374
161,0.985,0.062999680204669
162,0.985,0.06301983365323097
163,0.985,0.06304
164,0.985,0.06306017925736236
165,0.985,0.06308037143772013
166,0.985,0.06310057655349136
167,0.985,0.0631207946171099
168,0.985,0.06314102564102564
169,0.98,0.0628406540557871
170,0.98,0.06286080821039128
171,0.98,0.0628809752967597
172,0.98,0.06290115532734275
173,0.98,0.06292134831460675
174,0.98,0.06294155427103404
175,0.98,0.06296177320912304
176,0.98,0.06298200514138817
177,0.98,0.06300225008036
178,0.98,0.06302250803858521
179,0.98,0.06304277902862657
180,0.98,0.06306306306306306
181,0.98,0.06308336015448986
182,0.98,0.06310367031551835
183,0.98,0.06312399355877617
184,0.98,0.06314432989690721
185,0.98,0.06316467934257171
186,0.98,0.06318504190844616
187,0.98,0.06320541760722348
188,0.98,0.06322580645161291
189,0.98,0.0632462084543401
190,0.98,0.0632666236281472
191,0.98,0.06328705198579271
192,0.98,0.06332794830371567
193,0.98,0.06334841628959276
194,0.98,0.0633688975105076
195,0.98,0.06338939197930142
196,0.98,0.0634098997088321
197,0.98,0.0634304207119741
198,0.98,0.06345095500161865
199,0.98,0.06347150259067358
200,0.98,0.06349206349206349
201,0.98,0.06351263771872975
202,0.98,0.06353322528363047
203,0.98,0.06355382619974059
204,0.98,0.0635744404800519
205,0.98,0.063595068137573
206,0.98,0.06361570918532944
207,0.98,0.06363636363636363
208,0.98,0.06365703150373497
209,0.98,0.06367771280051981
210,0.98,0.0636984075398115
211,0.98,0.06373983739837398
212,0.98,0.06376057254391672
213,0.98,0.06378132118451026
214,0.98,0.06380208333333333
215,0.98,0.0638228590035819
216,0.98,0.06384364820846905
217,0.98,0.06386445096122516
218,0.98,0.06388526727509779
219,0.98,0.06390609716335181
220,0.98,0.06407322654462243
221,0.98,0.06413612565445026
222,0.98,0.06415711947626841
223,0.98,0.06417812704649639
224,0.98,0.06419914837864396
225,0.98,0.06422018348623854
226,0.98,0.06424123238282531
227,0.98,0.06426229508196721
228,0.98,0.064283371597245
229,0.98,0.06430446194225722
230,0.98,0.06432556613062028
231,0.98,0.06434668417596848
232,0.98,0.06436781609195402
233,0.98,0.06438896189224705
234,0.98,0.06447368421052632
235,0.98,0.06449489963803882
236,0.98,0.06451612903225806
237,0.98,0.06453737240698057
238,0.98,0.06455862977602109
239,0.98,0.06457990115321252
240,0.98,0.06460118655240607
241,0.98,0.06462248598747115
242,0.98,0.06464379947229551
243,0.98,0.06466512702078522
244,0.98,0.06468646864686468
245,0.98,0.06470782436447672
246,0.98,0.06472919418758256
247,0.98,0.06475057813016187
248,0.98,0.06477197620621282
249,0.98,0.06479338842975206
250,0.98,0.06481481481481481
251,0.98,0.06483625537545484
252,0.98,0.06485771012574454
253,0.98,0.0648791790797749
254,0.98,0.06490066225165562
255,0.98,0.06492215965551507
256,0.98,0.06494367130550033
257,0.98,0.06496519721577726
258,0.98,0.06500829187396352
259,0.98,0.0650298606502986
260,0.98,0.06505144374377697
261,0.98,0.0650730411686587
262,0.98,0.06509465293922286
263,0.98,0.06511627906976744
264,0.98,0.0651379195746095
265,0.98,0.06515957446808511
266,0.98,0.06520292747837658
267,0.98,0.06522462562396007
268,0.98,0.06524633821571238
269,0.98,0.06526806526806526
270,0.98,0.06528980679546968
271,0.98,0.06542056074766354
272,0.98,0.06544240400667779
273,0.98,0.06546426185704743
274,0.98,0.06548613431339793
275,0.98,0.06550802139037433
